objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
1,15 Minutes of YouTube Fame,"McWethy, Ian",12-18,1,0,2,3,FALSE,3,Comedy,2020,,Stage Partners,TRUE,FALSE,FALSE,,The one where a kid falls on his butt and becomes a viral video a la Charlie Bit My Finger. A biting satire that explores the bizarre world of being a celebrity in the Internet age.,,,record
2,"20,000 Leagues Under the Sea","Suranna, Keith",07-10,3,1,2,6,,31,Science Fiction,1997,,Little Golden Books,TRUE,FALSE,TRUE,"20,000 Leagues Under the Sea","Based on Jules Verne's novel 20,000 Leagues Under the Sea",,,record
3,Abu Nuwas: Two Tales from Baghdad,"Winther, Barbara",6-12,3,2,2,7,TRUE,10,Folktales,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,Adapted from some of the stories of 1001 Arabian Nights.,"In the first story, Abu Nuwas, a Persian poet who lived in Baghdad in the 700s CE, solves a dispute involving stolen shoes. In the second story, he tricks a man who lent him a defective cooking pot.",,,record
4,Adaptation,"May, Elaine",10-18,3,1,0,4,,25,Science Fiction,1971,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,A contest in which the contestant advances or is sent back through the seven ages of man.,,,record
5,Aesop's Fables,"Bartlett, Dave",04-12,0,0,11,11,,46,Folktales,1979,,Open Source,FALSE,FALSE,TRUE,Adapted from Aesop's Fables.,"Multiple versions. A collection of fables credited to Aesop, a slave and storyteller who lived in ancient Greece between 620 and 564 BCE.",,Extremely similar to the Anne Glasner version. Can add additional actors; this play is told as a series of fables with a common narrator. Small cast version is included.,record
6,After Magritte,"Stoppard, Tom",8-18,3,2,0,5,,24,Mystery,1971,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Harris, his mother and his wife are a kooky trio. Enter the forceful inspector from Scotland Yard with his constable - which is strange, notes the wife, for she had ordered an ambulance. The officers proceed to place the three under arrest.",,,record
7,Aida (Scenes),"Verdi, Giuseppe",10-18,4,2,2,8,,9,Drama,1871,,Open Source,FALSE,TRUE,FALSE,,"The Egyptians have captured and enslaved Aida, an Ethiopian princess. An Egyptian military commander, Radamès, struggles to choose between his love for her and his loyalty to the King of Egypt. To complicate the story further, the King's daughter Amneris is in love with Radamès, although he does not return her feelings.",,"Contains scenes from Aida: School Edition. 2 copies of Scenes 2 and 4, 3 copies of Scene 5, and 6 copies of Scene 6.",record
8,Aladdin McFaddin,"Denson, Wil",08-14,4,6,0,10,TRUE,41,Comedy,1977,,Dramatic Publishing,TRUE,TRUE,TRUE,Adapted from The Arabian Nights.,"The sultan's beautiful daughter, Bessie Mae Moocho, loves an honest young fellow named Aladdin McFaddin, but he's a dreamer and therefore very poor. So the sultan chooses a filthy rich Oklahoma oil magnate to marry her. Aladdin finds a dirty old lamp and rubs some of the grime off—and a genie appears. He's a lovable genie, but he's deaf from all the ka-booms when he's released. Nevertheless, he and Aladdin have a grand old time thwarting the sultan's greedy plan.",,,record
9,Alice: Through the Looking Glass and Other Adventures,"Stephens, Jeffryn",06-18,1,4,26,31,,54,Fantasy,1984,,YPPC,FALSE,TRUE,TRUE,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,,There are probably 8 copies of this play. Some of the copies are alternate versions. There are multiple roles in this that are not gender specific. Many of these roles can doubled.,record
10,All the Wealth One Needs,"Leonard, Joann",4-12,2,1,13,16,TRUE,12,Folktales,,Unknown,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from 1001 Arabian Nights.,"Based on A Thousand and One Arabian Nights, this story within a story tells how a young woman's courage and intelligence saves the day.",,,record
11,All the World's a Stage,"Wilson, Henry David",10-18,13,7,0,20,TRUE,12,Drama,1968,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The children assemble on the stage and are given neither script nor plot. The parts chosen include a nurse, a shop assistant, a mother, a policeman, a politician and a rich man. The Producer's instructions are explained but fighting breaks out. The Producer's son tries to persuade everyone to play a better part. He is killed but returns to give his advice.",,,record
12,Anansi and the First Talking Drum,"Stephens, Jeffryn",04-08,2,0,6,8,TRUE,5,Folktales,1985,,YPPC,FALSE,FALSE,TRUE,Adapted from Anansi and the Magic Drum,"This is the story of Anansi, the cunning spider, and a magical drum that spoke the language of the cosmos.",,Co-located in CAPS Learning Packet curriculum.,record
13,Anansi and the Sky-God Stories,"Stephens, Jeffryn",4-8,1,1,9,11,TRUE,8,Folktales,1985,,YPPC,FALSE,FALSE,TRUE,Adapted from All Stories are Anansi's (A Tale from West Africa),"Anansi (/ah*nahn*see/) the Spider is a popular figure in the folklore of parts of West Africa. Anansi is a “trickster” figure—clever, cunning, sometimes mischievous—who uses his wits to make up for what he lacks in size and strength. This story tells how Anansi became the “owner” of all stories",,Co-located in CAPS Learning Packet curriculum. Might be a copy of Barbara Winther's,record
14,Anastasia - Recognition Scene,"Maurette, Marcelle",10-18,0,2,1,3,,8,Fantasy,1952,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Anastasia is recognized by the dowager Tsarina, her grandmother.",,One scene from act II of Anastasia. English adaptation by Guy Bolton.,record
15,And Then There Were None (Formerly Ten Little Indians),"Christie, Agatha",12-18,8,3,0,11,FALSE,73,Mystery,1943,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adaptation of the novel by the same author.,"Ten strangers are summoned to a remote island. All that the guests have in common is a wicked past they’re unwilling to reveal and a secret that will seal their fate… for each has been marked for murder. As the weather turns and the group is cut off from the mainland, the bloodbath begins; one by one, they are brutally murdered in accordance with the lines of a sinister nursery rhyme about “Ten Little Soldier Boys.”",,,record
16,Andre's/Andrea's Hat,"Stephens, Jeffryn",04-10,1,5,3,9,FALSE,6,Folktales,1984,,YPPC,FALSE,FALSE,FALSE,,Andrea's Cap is a story about a girl who rejects all kinds of gifts in favor of keeping the cap her mother made her.,,,record
17,Anne of Green Gables,"Robinette, Joseph",04-18,9,19,3,31,TRUE,84,Drama,1989,,The Dramatic Publishing Company,TRUE,FALSE,TRUE,Anne of Green Gables by LM Montgomery,An orphan girl is adopted by a pair of siblings.,,,record
18,Antigone,"Sophocles,",14-18,6,3,0,9,TRUE,53,Tragedy,442,,Unknown,FALSE,FALSE,FALSE,,"Antigone is one of the plays of a trilogy written by Sophocles called the Theban plays. Antigone was not only daughter to Oedipus but also his sister. Oedipus unknowingly married his mother, which makes Jocasta, Antigone’s mother and grandmother at the same time. This is a tragedy play about Antigone disobeying the King’s law by burying her brother, Polynices. In the play Creon (King) promises death to whoever buried Polynices when he finds out who it is. In Antigone 3, Creon starts interrogating Antigone when he was told she was the one responsible. Antigone denied nothing, she buried her brother proudly and unafraid of the consequences. In Antigone 5, Creon sends Antigone to her death because of her actions. Antigone was also Haemon’s fiance, Creon’s son. There was news that Haemon decided to kill himself and die beside Antigone; because of this Creon tried to take back his actions, but it was too late. Antigone was dead when he reached her and Haemon then kills himself. Haemon’s mother finds out he killed himself and took her own life as well. The tragedy of the play is that Creon lost so many people all because he was stubborn enough to kill a girl for burying her brother. He was selfish and used his power for evil.",,,record
19,"Apple of Discord and the Trojan War, The","Stephens, Jeff",8-14,14,14,10,38,TRUE,18,Mythology,,Unknown,Unknown,TRUE,FALSE,TRUE,Adaptation of the myth about the apple of discord.,"In Greek mythology, the Apple of Discord (Ancient Greek: μῆλον τῆς Ἔριδος) was a golden apple dropped by Eris, the goddess of strife, at the wedding of Peleus and Thetis. It sparked a vanity-fueled dispute among Hera, Athena, and Aphrodite that led to the Judgement of Paris and ultimately the Trojan War.[1]",,,record
20,"Apple Tree, The","Bock, Jerry",10-18,3,4,3,10,,87,Comedy,1966,,Music Theater International,TRUE,FALSE,TRUE,,Love blossoms in these three comedic vignettes exploring the relationship between men and women.,,This might be The Diary of Adam and Eve or it might be,record
21,Appointment with Death,"Christie, Agatha",10-18,9,7,0,16,FALSE,79,Mystery,1945,,Concord Theatricals,TRUE,FALSE,TRUE,Appointment with Death by Agatha Christie,"An assorted group of travellers find themselves thrown together on an expedition to the rose red city of Petra. At the centre of the group are Mrs. Boynton and her four stepchildren who never leave her side. This apparent devotion however is actually a façade for something far more sinister. Sarah King, a young English doctor, and her colleague, the eminent psychologist, Dr. Theodore Gerard, find themselves embroiled in a battle to free the children from the sadistic grasp of a tyrannical woman. This chilling play offers a unique take on the classic murder mystery, where Christie explores the realms of the sadistic mind and the devastating effects of long term psychological abuse.",,,record
22,April Fish,"Pezzulo, Ted",10-18,6,5,0,11,,27,Comedy,1975,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The scene is in a tenement in New York’s “Little Italy,” the home of the family of Assunta and Fortunato. It so happens that there is an enormous hole in their bathroom wall, and Assunta has summoned the detested Pietro (an excellent plasterer) to fix it—but Fortunato has just spent all of the family’s money on a magnificent gold tooth. The answer: “April Fish” —a traditional bit of Italian trickery in which the word is passed that Fortunato has died, and he is suitably laid out, amidst mourners and candles, when Pietro arrives. Certainly, in such a situation, no one would be so heartless to speak of money! Unfortunately the ruse fails to work quite as well as hoped, and what with the rising hubbub of assembled neighbors and friends, the situation grows increasingly frantic—and hilarious—until the good Padre Peggio arrives to set matters right and give the perpetrators their comeuppance.",,,record
23,Argument Clinic from Monty Python's Flying Circus,"Cleese, John",10-18,0,0,7,7,FALSE,7,Comedy,1972,,Unknown,TRUE,FALSE,FALSE,,A customer walk into an office looking for an argument. Often described as an example of how NOT to argue.,,,record
24,Arsenic and Old Lace,"Kesselring, Joseph",10-18,11,3,0,14,FALSE,88,Comedy,1939,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Drama critic Mortimer Brewster’s engagement announcement is upended when he discovers a corpse in his elderly aunts’ window seat. Mortimer rushes to tell Abby and Martha before they stumble upon the body themselves, only to learn that the two old women aren’t just aware of the dead man in their parlor, they killed him! Between his aunts’ penchant for poisoning wine, a brother who thinks he’s Teddy Roosevelt, and another brother using plastic surgery to hide from the police—not to mention Mortimer’s own hesitancy about marriage—it’ll be a miracle if Mortimer makes it to his wedding. Arsenic and Old Lace is a classic black comedy about the only thing more deadly than poison: family.",,,record
25,Arya monologue from Stargirl,"Hart, Kristin",12-18,0,0,1,1,FALSE,1,Monologue,2020,,Disney,TRUE,FALSE,FALSE,,Arya reflects on how fast things move and tries to remind folks to slow down.,,,record
26,"As If, Cassandra","Pizzarello, Jason",12-18,2,9,4,15,FALSE,2,Mythology,2020,,Stage Partners,TRUE,FALSE,TRUE,Adapted from Greek mythology,"Everybody's whispering: Something's wrong with Cassie. She walked out on her squad mid-routine; won't help her mom put up Christmas decorations; suddenly wants to back out of prom plans. Well, Cassie hears taunts about how fate is inescapable in every cheer, her mom doesn't seem to notice it's February, and she's haunted by premonitions of something terrible that will happen if prom night continues as planned. So, SORRY if she is being a little WEIRD, people. But does seeing her fate mean that she can change it? Heathers meets the Greek tragedy of Cassandra in this drama glinting with dark wit.",,A two-person scene from this play.,record
27,Ashes,"Rudkin, David",16-18,2,2,0,4,,54,Drama,1977,,Concord Theatricals,TRUE,FALSE,FALSE,,"Anne and Colin are a thirty-ish British couple who desperately want a child. With stark realism, harrowing insight, and dark humor, their efforts to achieve this blessing are portrayed as the embers of their hope become the ashes of their dreams and with bitter experience they summon the strength and love to go on.",,Script is incomplete. This also deals with some pretty explicit sexual themes.,record
28,Ask Any Girl,"Wolfe, Winifred",12-18,5,12,0,17,FALSE,68,Comedy,1960,,Origin Theatrical,TRUE,FALSE,FALSE,,Meg Wheeler felt stifled in her small hometown where she's just graduated from college. So Meg comes to New York intent on enlarging her horizon -- and by that she means finding a husband.,,,record
29,Atticus monologue from Up in the Air,"Reitman, Jason",12-18,0,0,1,1,FALSE,1,Monologue,2009,,Paramount Pictures,TRUE,FALSE,FALSE,,Atticus reflects on attachments to stuff.,,,record
30,Aunt Dan and Lemon,"Shawn, Wallace",16-18,6,6,0,12,,45,Drama,1985,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The action begins in the London flat of Lenora (Lemon), a rather frail, introspective young woman who tells us, with a chilling calm, why she rather admires the Nazis for their “refreshing” lack of hypocrisy, and who then, in a series of flashbacks, explains how she came to hold these views. We meet her abrasive American-born father, to whom profit and business success are foremost, and her retiring mother who wishes that love and kindness were more prevalent but is easily reconciled to their absence. But, most important, we meet a family friend, Danielle (known as Aunt Dan), an Oxford don obsessed with defending Henry Kissinger’s policies in Vietnam. Beguiling Lemon with tales of her wild days as an Oxford student, and of the amoral escapades of her diverse and often dissolute friends (depicted in brief, disquieting vignettes), Aunt Dan becomes the central force in Lemon’s life, eventually corrupting Lemon’s moral views to the point where even Aunt Dan’s death elicits no compassion. Instead Lemon, in a final, chilling monologue, methodically makes the case that bullies are our natural masters—and that reasonable man is, by nature, an armed killer who destroys others not only because it is necessary for survival but because it gives him pleasure.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,record
31,Babel's in Arms,"Ives, David",14-18,2,1,0,3,FALSE,9,Satire,2000,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Two blue-collar Mesopotamian construction workers are handed a provocative task: Build the Tower of Babel—or else. How many stones does it take to get to heaven, anyway?",,,record
32,Bang!,"Stephens, Jeffryn",14-18,8,10,1,19,,48,Drama,1984,,YPPC,FALSE,FALSE,FALSE,,There's a hostage situation at a bus station.,,There are lyrics for this play but no score is included.,record
33,"Baratie, The from One Piece","Sabatini (adapted), Sebastian",10-18,0,0,8,8,FALSE,3,Comedy,2025,,YPPC,TRUE,FALSE,TRUE,Adapted from the One Piece anime and manga,The crew visits a restaurant.,,Adapted by Sebastian Sabatini for Moments 2025.,record
34,Bata's Lessons: A Tale from Ancient Egypt,"Winther, Barbara",10-14,3,3,7,13,TRUE,10,Folktales,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,"A child-friendly adaptation from the Tale of the Two Brothers, an Egyptian myth that comes down to us from the reign of Seti II (reign 1200-1194 BCE).","The gods make a wife for Bata. They live in peace for a while, until he is murdered and his wife is kidnapped by the Pharaoh. Bata comes to her in the form of a bull to win her back.",,,record
35,Beans!,"Schuch, Joe",8-12,3,2,6,11,,27,Folktales,1988,,"Joseph N. Schuch, Jr.",TRUE,FALSE,TRUE,Adapted from Jack and the Beanstalk,"""Jack and the Beanstalk"" is the best known of the ""Jack tales"", a series of stories featuring the archetypal English hero and stock character Jack.",,,record
36,Belle of Amherst,"Luce, William",10-18,0,1,0,1,,78,Drama;History,1976,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The Belle of Amherst is a one-woman play by William Luce. Based on the life of poet Emily Dickinson from 1830 to 1886, and set in her Amherst, Massachusetts, home, the 1976 play makes use of her work, diaries, and letters to recollect her encounters with the significant people in her life – family, close friends, and acquaintances. It balances the agony of her seclusion with the brief bright moments when she was able to experience some joy.",,One woman play; has 15 characters so can be expanded.,record
37,Bermuda Triangle Mystery,"Murray, John",10-18,2,3,5,10,,20,Comedy,1979,,"Plays, Inc.",FALSE,FALSE,FALSE,,A pleasure cruise becomes a nightmare when the yacht Enchantress sails into the Bermuda Triangle.,,Part of Fifteen plays for teen-agers: A collection of one-act royalty-free comedies and mysteries by John Murray,record
38,Between Daylight and Boonville,"Williams, Matt",08-18,3,5,0,8,,83,Drama,1988,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"The play is set in the coal mining country of southern Indiana. Carla, a twenty six year old high school dropout, wife, and mother, dreams of packing up and moving to escape her dreary existence. She is teased, threatened, and cajoled by her friends as they settle into an ordinary day of trading gossip, reading magazines, and prattling about sex while the children dart in and out. An ordinary day becomes extraordinary when the local mine resounds with an explosion. The play is a touching and humorous study of women who posses the courage, the humor, and the dignity to rise above the grimmer facts of their existence.",,,record
39,Beyond the Fringe,"Bennett, Alan",12-18,0,0,4,4,,75,Comedy,1960,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Beyond the Fringe was a British comedy stage revue written and performed by Alan Bennett, Peter Cook, Jonathan Miller, and Dudley Moore. It debuted at the 1960 Edinburgh Festival and went on to play in London's West End and then in America, both on tour and on New York's Broadway in the early 1960s. Hugely successful, it is widely regarded as seminal to the ""satire boom"", the rise of satirical comedy in 1960s Britain.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,record
40,Biedermann and the Firebugs,"Frisch, Max",14-18,1,1,7,9,,43,Comedy,1958,,Unknown,TRUE,FALSE,FALSE,,"The Firebugs is a dark comedy by Swiss playwright Max Frisch. Gottlieb Biedermann, a cautious German businessman, discovers that the two men who have entered his home disguised as salesmen are the arsonists who have already burned down much of the town. He and his wife, concerned only with saving themselves and their home, lodge them, feed them a sumptuous dinner, and provide them with all the matches they can possibly use — all of which serves only to postpone the inevitable holocaust.",,,record
41,"Big Toe: A Jump Tale, The","Stephens, Jeffryn",4-10,1,1,8,10,TRUE,6,Folktales,1994,,YPPC,FALSE,FALSE,TRUE,An adaptation of The Big Toe from Scary Stories to Tell in the Dark by Alvin Schwartz,"A boy is frustrated with not having any meat for his dinner. When he is hoeing the garden, he comes across what looks like a big toe stuck in the dirt. He eats it for dinner, but the monster whose toe it was wants it back.",,,record
42,"Birthday Party, The","Pinter, Harold",10-18,4,2,0,6,,54,Mystery,1959,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"In Pinter's classic comedy of menace, a small birthday party in a rundown seaside boarding house becomes a nightmare when two sinister strangers arrive unexpectedly.",,,record
43,Blithe Spirit,"Coward, Noel",10-18,2,5,0,7,,86,Comedy,1941,,Concord Theatricals,TRUE,FALSE,FALSE,,"A smash comedy hit on London and Broadway stages, this much-revived classic from the playwright of Private Lives offers wit, conflict and big laughs as a fussy, cantankerous novelist finds himself haunted by the ghost of his late first wife.",,,record
44,Blood Photo,"Friedman, Edward",12-18,3,3,0,6,,33,Drama,1969,,Chilton Books,TRUE,FALSE,FALSE,,"A vivid, potent dramatic re-creation of a gradually disintegrating family, a subject that undoubtedly is painfully familiar to the play's progenitor.",,,record
45,Blood Wedding,"Garcia Lorca, Federico",14-18,6,10,1,17,,99,Fantasy,1933,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"Two families in a semi-mythical rural Spain are intricately bound in an unbreakable cycle of murder and revenge. The death-bound love triangle at the center of the play fuels these passions to a fever pitch and propels the story to its unstoppable tragic conclusion. An arranged country marriage between the children of rich landowners is about to take place. A past lover, himself in a loveless marriage, cannot allow the wedding to take place and spirits the Bride away, who goes with him willingly on her wedding night. An entire town goes after the lovers in the middle of the night where pursuers and pursued plunge into a realm of deep darkness where the moonlight is not friendly and the forest not shelter enough. Lorca’s image-laden poetry unfolds the story with the fire and power characteristic of his work and the fateful resonance that marked his own tragically short life.",,,record
46,"Blue Bird, The","Maeterlinck, Maurice",4-18,3,4,37,44,,61,Fairytales,1903,,Public Domain,FALSE,FALSE,FALSE,,"The story is about a girl called Mytyl and her brother Tyltyl seeking happiness, represented by The Blue Bird of Happiness, aided by the good fairy Bérylune.",,,record
47,Blue Denim,"Herlihy, James Leo",12-18,3,3,0,6,,107,Drama;Family,1959,,Chilton Books,TRUE,FALSE,FALSE,,"This moving and compassionate play concerning the problem of communications between the younger and older generations was saluted by the critics as a work of stature and uncommon insight. The juveniles are not delinquent and the parents are not heartless or uncaring; the trouble stems from the fact that they simply do not speak each other's language. A retired army officer living in Detroit has a 15 year old son who finds that he is about to become a father. The youngster feels helpless; he has never been close enough to his parents to go to them for help. When he does, at a friend's urging, he cannot make himself understood. This simple yet universal situation encompasses the terrible insecurity of youth, and the equally terrible failure of parents who realize too late that they don't know their own children.",,Written by James Leo Herlihy and William Noble,record
48,"Bomb, The","Douglas, James",10-18,2,1,0,3,,20,Drama,1966,,Proscenium Press,TRUE,FALSE,FALSE,,"A couple of boys plan to play a cruel prank on a lonely old woman by setting off a bomb at her door. The bomb does not ignite, and one of the boys falls in his panic to get away.",,,record
49,"Boor, The","Chekhov, Anton",10-18,2,1,0,3,,12,Drama,1888,,Unknown,FALSE,FALSE,FALSE,,A widow mourning her late husband is confronted by a creditor seeking repayment of a debt. Their interaction becomes heated but ultimately leads to a confession of love.,,Two different versions: The Boor and The Bear. Both are the same play.,record
50,Breast Men,"Bozzone, Bill",16-18,3,0,0,3,FALSE,14,Drama,1995,,Smith and Kraus,TRUE,FALSE,FALSE,,Lloyd tries to mend his broken heart while his best friend Stuart attempts to get some secrets off his chest; all in the romantic resort setting of Love Acres. What was supposed to be the night of Lloyd's dreams with the woman he loves turns out to be a weekend he won't soon forget thanks to his troubled friend.,,This one reads as transphobic in the way that a lot of media in the 90s played trans people for laughs.,record